OBJECTID,MinReg_ID,Site_ID,Ftr_ID,Ftr_Name,Other_Name,Last_Updt,Ftr_Group,Ftr_Type,Commodity,Lat_WGS84,Long_WGS84,Pt_Def,Poly_Def,State,County,Loc_Scale,Loc_Date,Ref_Detail,Ref_ID,Remarks,Loc_Poly
158,Mr00035,NV00131,Mf00447,"Pacific, Pacific mine",<Null>,8/2/2020,Mine Feature,Open Pit Mine,tungsten (1),41.1467,-117.2613,Approximate location of the Pacific Mine on the map,<Null>,NV,Humboldt,"Medium (1:24,000-1:250,000)",1955,Plate 1,Hotz and Willden (1964),(1) Stager and Tingley (1988),No
159,Mr00035,NV00131,Mo00433,"Pacific, Pacific deposit",<Null>,5/1/2020,Mineral Occurrence,Deposit,tungsten (1),41.1467,-117.2613,Same location as the Pacific mine (Mf00447),<Null>,NV,Humboldt,"Medium (1:24,000-1:250,000)",1955,Plate 1,Hotz and Willden (1964),(1) Callaghan and others (1943),No
160,Mr00035,NV00132,Mf00448,"Granite Creek, Granite Creek mine",<Null>,8/2/2020,Mine Feature,Underground Workings,tungsten (1),41.1364,-117.2761,Location of the Granite Creek Mine from imported GIS file,<Null>,NV,Humboldt,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
161,Mr00035,NV00132,Mo00769,"Granite Creek, Granite Creek deposit",Tip Top,8/3/2020,Mineral Occurrence,Deposit,tungsten (1),41.1364,-117.2761,Same location as the Granite Creek mine (Mf00448),<Null>,NV,Humboldt,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
162,Mr00035,NV00133,Mf00449,"Valley View, Valley View mine",Harold's; Mountain View; Saunders; Saunders Property,8/3/2020,Mine Feature,Open Pit Mine,tungsten (1),41.151,-117.2618,Location of the Mountain View Mine from imported GIS file,<Null>,NV,Humboldt,<Null>,2020,625k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
163,Mr00035,NV00133,Mo00235,"Valley View, Valley View deposit",<Null>,5/1/2020,Mineral Occurrence,Deposit,tungsten (1),41.151,-117.2618,Same location as the Valley View mine (Mf00449),<Null>,NV,Humboldt,<Null>,2020,625k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
164,Mr00035,NV00134,Mf00455,"Markus, Markus mine",Harden's lease; Marcus Mine,8/3/2020,Mine Feature,Open Pit Mine,tungsten (1),41.1561,-117.2973,Approximate location of the Marcus Mine on the map,<Null>,NV,Humboldt,"Medium (1:24,000-1:250,000)",1955,Plate 1,Hotz and Willden (1964),(1) Stager and Tingley (1988),No
165,Mr00035,NV00134,Mo00283,"Markus, Markus deposit",<Null>,5/1/2020,Mineral Occurrence,Deposit,tungsten (1),41.1561,-117.2973,Same location as the Markus mine (Mf00455),<Null>,NV,Humboldt,"Medium (1:24,000-1:250,000)",1955,Plate 1,Hotz and Willden (1964),(1) Stager and Tingley (1988),No
166,Mr00116,NV00135,Mf00461,"Scheelite Chief, Scheelite Chief mine",The Chief Mine; Tungsten Metals; Silver Bell,8/3/2020,Mine Feature,Adit,tungsten (1),38.7942,-114.3538,Location of the Chief Mine from imported GIS file,<Null>,NV,White Pine,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
167,Mr00116,NV00135,Mo00331,"Scheelite Chief, Scheelite Chief deposit",<Null>,8/2/2020,Mineral Occurrence,Deposit,tungsten (1),38.7942,-114.3538,Same location as the Scheelite Chief mine (Mf00461),<Null>,NV,White Pine,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
168,Mr00116,NV00136,Mr00116,Shoshone Mining District,Minerva; Tungsten,5/1/2020,Mineral Region,Mining District,tungsten,38.8075,-114.3263,Approximate center of the polygon,Approximate extent of the mining district from the map,NV,White Pine,"Small (<1:250,000)",1998,Plate 1,Tingley (1998),<Null>,Yes
169,Mr00117,NV00137,Mf00462,"Nevada Scheelite, Nevada Scheelite mine",Eed-A-How; Grutt; Leonard; Scheelite Extension; Viking's Daughter; Yankee; Yankee Girl,8/3/2020,Mine Feature,Underground Workings,tungsten (1),39.0146,-118.3234,Approximate location of the Nevada Scheelite Mine on the map,<Null>,NV,Mineral,"Small (<1:250,000)",1961,Plate 1,Ross (1961),(1) Stager and Tingley (1988),No
170,Mr00117,NV00137,Mo00345,"Nevada Scheelite, Nevada Scheelite deposit",<Null>,2/4/2020,Mineral Occurrence,Deposit,tungsten (1),39.0146,-118.3234,Same location as the Nevada Scheelite mine (Mf00462),<Null>,NV,Mineral,"Small (<1:250,000)",1961,Plate 1,Ross (1961),(1) Stager and Tingley (1988),No
171,Mr00117,NV00138,Mr00117,Leonard Mining District,<Null>,5/1/2020,Mineral Region,Mining District,tungsten,39.0149,-118.3259,Approximate center of the polygon,Approximate extent of the mining district from the map,NV,Mineral,"Small (<1:250,000)",1998,Plate 1,Tingley (1998),<Null>,Yes
172,Mr00119,NV00139,Mf00463,"M.G.L., M.G.L. mine",Buster; Cameron Claims; Cowles; Western Soldier; Wizard Group,8/3/2020,Mine Feature,Mine Shaft,tungsten (1),40.0338,-119.2644,Location of the MGL Mines from imported GIS file,<Null>,NV,Pershing,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
173,Mr00119,NV00139,Mo00525,"M.G.L., M.G.L. deposit",<Null>,8/2/2020,Mineral Occurrence,Deposit,tungsten (1),40.0338,-119.2644,Same location as the M.G.L. mine (Mf00463),<Null>,NV,Pershing,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
174,Mr00119,NV00140,Mr00119,Nightingale Mining District,Mud Lake,5/1/2020,Mineral Region,Mining District,tungsten,39.996,-119.2592,Approximate center of the polygon,Approximate extent of the mining district from the map,NV,Churchill; Pershing; Washoe,"Small (<1:250,000)",1998,Plate 1,Tingley (1998),<Null>,Yes
175,Mr00119,NV00141,Mf00464,"Nightingale, Nightingale mine",<Null>,7/31/2020,Mine Feature,Mine Shaft,tungsten (1),40.0091,-119.2274,Location of the Nightingale Mine from imported GIS file,<Null>,NV,Pershing,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
176,Mr00119,NV00141,Mo00516,"Nightingale, Nightingale deposit",<Null>,7/29/2020,Mineral Occurrence,Deposit,tungsten (1),40.0098,-119.2276,Approximate center of the polygon,Outline of scheelite-bearing tactite on map,NV,Pershing,"Large (>1:24,000)",1942,Plate 3,Smith and Guild (1942),(1) Stager and Tingley (1988),Yes
177,Mr00078,NV00142,Mr00078,Golconda Mining District,<Null>,7/25/2020,Mineral Region,Mining District,"iron; manganese; silica, tungsten",40.9216,-117.4485,Approximate center of the polygon,Approximate extent of the mining district from the map,NV,Humboldt,"Small (<1:250,000)",1998,Plate 1,Tingley (1998),<Null>,Yes
178,Mr00177,TX00002,Mr00177,Cave Peak mining area,<Null>,5/16/2020,Mineral Region,Area,copper (1); molybdenum; niobium (1); tungsten,31.4323,-104.8929,"Approximate location of the large ""X"" on the map",Approximate extent of region on map,TX,Culberson,"Small (<1:250,000)",1983,Plate 1,Henry and others (1983),(1) Audétat (2010),Yes
179,Mr00177,TX00010,Mo00723,"Cave Peak, Main Pipe",<Null>,8/2/2020,Mineral Occurrence,Deposit,copper; molybdenum; niobium; tungsten,31.4418,-104.8809,Approximate center of the polygon,Approximate extent of Cave Peak breccia pipe on the map,TX,Culberson,"Large (>1:24,000)",2010,"Page 1741, Figure 1",Audétat (2010),<Null>,Yes
180,Mr00138,UT00002,Mr00138,Notch Peak District,House Range,7/10/2020,Mineral Region,Mining District,tungsten,39.1879,-113.3966,Approximate center of the polygon,Approximate extent of the mining district from imported shapefile,UT,Millard,<Null>,2018,Utah mining district shapefile,Krahulec (2018),Imported data from Utah Geological Survey,Yes
181,Mr00149,WA00007,Mf00559,"Germania, Germania mine",Roselle,7/31/2020,Mine Feature,Underground Workings,tungsten (1),48.0082,-118.1006,Location of the Germania Mine from imported GIS file,<Null>,WA,Stevens,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Wolff and others (2014),No
182,Mr00149,WA00007,Mo00766,"Germania, Germania deposit",<Null>,7/31/2020,Mineral Occurrence,Deposit,tungsten (1),48.0082,-118.1006,Same location as the Germania mine (Mf00559),<Null>,WA,Stevens,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Wolff and others (2014),No
183,Mr00149,WA00010,Mr00149,Cedar Canyon Mining District,Deer Trail,1/28/2020,Mineral Region,Mining District,tungsten (1),48.0203,-118.2126,Approximate center of the polygon,"Approximate extent of Cedar Canyon district on map, adjusted to county borders",WA,Stevens,"Medium (1:24,000-1:250,000)",1945,"Page 7, Figure 1",Culver and Broughton (1945),(1) Wolff and others (2014),Yes
